,movie_title,release_year,director,gross_revenue,age_restriction,genre
0,O Poderoso Chefão,1972,Francis Ford Coppola,134.97,14,"Crime, Drama"
1,O Poderoso Chefão II,1974,Francis Ford Coppola,57.30,14,"Crime, Drama"
2,O Poderoso Chefão III,1990,Francis Ford Coppola,66.67,14,"Crime, Drama"
3,Scarface,1983,Brian De Palma,45.60,18,"Crime, Drama"
4,O Pagamento Final,1993,Brian De Palma,36.95,14,"Crime, Drama, Thriller"
5,Um Sonho de Liberdade,1994,Frank Darabont,28.34,16,Drama
6,Seven: Os Sete Crimes Capitais,1995,David Fincher,100.13,14,"Crime, Drama, Mystery"
7,Laranja Mecânica,1971,Stanley Kubrick,6.21,(Banned),"Crime, Drama, Sci-Fi"
8,Sr. Ninguém,2009,Jaco Van Dormael,0.00,R,"Drama, Fantasy, Romance"
9,12 Homens e uma Sentença,1957,Sidney Lumet,4.36,None,"Crime, Drama"
10,Casablanca,1942,Michael Curtiz,1.02,12,"Drama, Romance, War"
11,Um Dia de Cão,1975,Sidney Lumet,50.00,14,"Biography, Crime, Drama"
12,Tubarão,1975,Steven Spielberg,260.00,14,"Adventure, Thriller"
13,Um Estranho no Ninho,1975,Milos Forman,112.00,14,Drama
14,Rede de Intrigas,1976,Sidney Lumet,,14,Drama
15,Taxi Driver: Motorista de Táxi,1976,Martin Scorsese,28.26,14,"Crime, Drama"
16,Rocky: Um Lutador,1976,John G. Avildsen,117.24,12,"Drama, Sport"
17,Guerra nas Estrelas,1977,George Lucas,322.74,10,"Action, Adventure, Fantasy"
18,Apocalypse Now,1979,Francis Ford Coppola,83.47,16,"Drama, Mystery, War"
19,Manhattan,1979,Woody Allen,45.70,12,"Comedy, Drama, Romance"
20,Mad Max,1979,George Miller,8.75,16,"Action, Adventure, Sci-Fi"
21,Kramer vs. Kramer,1979,Robert Benton,106.26,14,Drama
22,Alien - O 8º Passageiro,1979,Ridley Scott,78.90,14,"Horror, Sci-Fi"
23,Touro Indomável,1980,Martin Scorsese,23.38,16,"Biography, Drama, Sport"
24,"Star Wars, Episódio V: O Império Contra-Ataca",1980,Irvin Kershner,290.48,None,"Action, Adventure, Fantasy"
25,O Iluminado,1980,Stanley Kubrick,44.02,14,"Drama, Horror"
